ROI,ADV_1001,ADV_1002,ADV_1003,ADV_1004,ADV_1005,ADV_1006,ADV_1007,ADV_1008,ADV_1009,ADV_1010,ADV_1011,ADV_1012,ADV_1013,ADV_1014,ADV_1015,ADV_1016,ADV_1017,ADV_1018,ADV_1019,ADV_1020,ADV_1021,ADV_1022,ADV_1023,ADV_1024,ADV_2002,ADV_2003,ADV_2008,ADV_2017,ADV_2020
ABAT,8.76,22.87,4.83,13.05,18.95,22.74,22.43,21.39,17.62,219.88,4.08,18.42,24.88,17.61,27.51,18.95,6.66,38.97,29.96,6.22,46.65,158.78,9.61,17.29,69.55,18.23,19.29,41.94,61.89
ACACA,217.75,101.74,164.31,247.25,245.31,382.95,291.88,176.3,285.66,638.9,306.17,542.15,361.86,128.53,306.11,238.89,160.05,144.43,242.26,294.2,519.83,459.94,414.55,91.56,409.35,310.57,227.25,284.05,258.27
ACACB,58.5,16.33,30.13,59.46,49.75,11.97,24.25,4.54,163.45,76.94,76.62,75.01,56.09,27.61,177.9,110.07,18.18,26.94,152.01,22.27,23.99,120.4,20.7,19.85,225.26,147.61,119.36,334.93,459.04
ACLY,1414.43,499.36,534.43,772.92,565.11,749.15,526.17,704.22,820.23,1660.99,663.04,1713.63,1008.22,651.24,864.64,817.68,701.15,936.5,1026.75,765.81,1602.8,909.67,895.89,177.36,910.49,1283.83,1106.96,1000.32,1204.78
ACO2,112.63,47.14,107.74,152.26,147.66,123.26,101.84,60.6,173.94,133.51,160.81,138.83,227.07,121.39,263.08,164.5,107.55,165.06,287.76,67.34,217.26,269.28,111.15,156.39,232.93,224.98,197.41,253.29,230.33
ACSS2,410.78,67.2,92.1,350.93,238.73,388.34,404.93,262.18,395.87,378.29,557,534.91,244.71,156.62,338.49,571.73,490.9,264.22,435.33,155.39,243.92,376.37,222.06,190.49,547.16,454.18,333.32,371.27,375.87
ACTB,13562.37,8829.83,10442.31,12079.55,10127.37,12208.9,6608.58,6780.88,13713.92,6824.63,6903.85,8888.1,11540.4,9416.65,9811.52,7411.27,10716.93,12682.76,10667.39,6501.75,12801.55,10696.15,12616.68,9663.75,12799.5,12332.3,12153.07,13266.51,16358.96
ADPGK,1182.29,562.36,581.62,665.25,445.62,577.42,284.91,441.07,277.03,2002.7,505.73,614.2,546.4,388.7,314.09,438.07,708.32,600.65,852.54,238.78,406.09,873.77,597.67,765.32,285.09,365.92,481.43,600.25,580.7
ALDOA,8098.31,16455.12,8273.97,7647.24,12052.16,14418.81,12619,9908.61,12252.84,6632.66,11179.88,10172.25,10223.81,14953.35,8899.3,11340.33,13756.34,10636.81,8522.44,10032.19,11852.92,9642.4,10997.86,5748.63,11710.55,8704.5,8280.54,5618.89,4912.34
ALK,0.63,0,0.57,1.45,2.37,0,0,0.65,13.12,246.09,0.58,0.33,0.45,0.71,4.44,0.71,0,1.15,0,0.26,0.67,1.39,0.49,18.17,0.77,1.56,2.18,3.35,2.92
AR,24.51,1.56,1.42,153.77,31.59,1.99,0.25,3.24,663.84,7.54,16.51,94.03,43.72,144.6,447.7,91.22,9.6,8.6,573.91,12.52,18.88,140.83,4.93,9.6,612.15,686.93,424.39,839.42,738.4
ARHGAP26,2316.71,300.08,556.03,702.59,549.85,868.23,492.53,368.15,1035.78,919.13,493.2,1537.96,1195.48,867.13,1172.08,4293.25,214.59,686.04,1403.27,308.19,1259.58,5011.09,780.3,2096.83,868.3,901.91,1025.45,1797.94,2256.21
ARV12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARV7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.56,6.67,7.28,2.8,3.25
ATG4A,197.1,44.1,57.71,137.4,97.12,55.65,47.89,86.2,151.82,72.04,142.45,226.99,123.48,159.95,226.7,77.41,109.6,123.8,213.41,126.38,92.41,172.71,159.71,112.37,166.45,188.3,179.76,219.47,162.11
