ID,N13_01,N13_02,N13_03,N13_04,N13_05,N13_06,N13_07,N13_08,N13_09,N13_10,N13_11,N13_13,N13_14,N13_15,N13_16,N13_17,N13_18,N14_01,N14_02,N14_03,N14_04,N14_05,N14_06,N14_07,N14_08,N14_09,N14_10,N14_11,N14_12,N14_13,N15_01,N15_02,N15_03,N15_04,N15_05,N15_06,N15_07,N15_08,N15_09,N15_10,N15_11,N15_12,N15_13,N15_14,N15_15,N15_16,N15_17,N15_18,N16_01,N16_02,N16_03,N16_04,N16_05,N16_06,N16_07,N16_08,N16_09,N16_10,N16_11,N16_12,N16_13,N16_14,N16_15,N16_16,N16_17,N16_18,N16_19,N17_01,N17_02,N17_03,N17_04,N17_05,N17_06,N17_07,N17_08
,E,A,O,G,M,O,V,G,G,O,G,G,G,O,G,O,O,G,O,G,G,O,O,O,A,A,G,G,O,GG,G,G,G,G,A,A,G,A,G,O,L,G,G,G,G,A,G,G,G,G,A,O,G,A,G,G,G,A,G,A,G,O,O,G,O,O,G,O,A,G,O,G,G,G,DNET
ABAT,568.35,279.12,804.35,98.7,7.27,2318.62,1159.58,461.48,48.77,2180.61,235.68,48.87,307.88,1200.1,135.88,1320.57,2033.99,495.79,2521.43,190.95,19.49,1344.22,1286.27,2525.91,955.17,998.65,1680.18,393.57,1064.03,839.06,37.55,11.37,604.62,434.2,1175.03,731.85,753.74,1638.13,621.44,708.11,73.98,686.49,1106.31,165.25,490,1515.25,152.73,430.12,370.68,406.45,662.73,1893.6,472.51,775.2,406.86,708.24,56.5,1230.43,343.41,1428.42,473.88,1181.47,2083.98,89.55,1052.88,1214.85,313.97,2267.1,1570.77,390.46,1081.43,930.28,293.65,321,543.91
ACACA,224.61,245.47,347.74,107.04,185.05,427.92,606.74,361.41,100.01,339.13,155.14,401.54,202.39,326.09,249.26,508.93,362.85,277.4,649.54,241.33,40.75,347.86,448.92,975.46,339.74,262.86,333.29,257.13,545.72,225.14,52.4,188.17,411.8,248.7,409.57,254.36,340.27,312.46,192.71,445.58,91.56,252.72,402.23,113.36,201.59,374.21,275.38,252.29,189.61,294.3,498.62,534.3,200.31,329.66,215.85,543.58,90.32,571.63,294.17,447.43,245.96,316.69,555.14,171.26,428.01,392.17,217.15,483.85,380.11,238.39,547.85,389.86,149.77,304.15,432.65
ACACB,14.83,18.7,51.04,31.55,8.99,76.01,110.6,43.32,24.86,135.06,75.23,46.23,69.53,63.86,98.62,145.01,242.54,97.77,50.37,97.84,13.29,93.97,108.13,101.45,32.98,28.95,69.2,64.64,45.31,345.32,36.72,22.74,113.84,221.92,43.04,28.8,41.32,128.41,134.25,8.79,73.19,37.01,194.84,43.93,67.46,88.67,50.6,69.2,94.16,64.89,136.51,35.73,70.73,34.74,69.29,243.33,26.11,46.71,63.05,169.15,46.39,133.79,93.58,74.32,175.08,66.98,44.53,52.93,16.99,51.8,20.85,109.24,60.73,78.91,402.84
ACLY,1332.37,752.85,777.91,643.37,1466.72,921.82,1417.22,1139.03,435.74,712.43,1394.97,2734.58,914.82,525.38,639.8,1042.15,1036.45,1157.35,975.74,897.48,596.21,961.02,464.43,1107.67,822.5,1019.37,537.51,1059.14,905.46,909.46,166.9,749.83,1283.99,747.37,1167.78,1431.13,1786.03,712.23,1568.21,800.57,822.96,1079.98,1286.88,971.49,1279.11,642.39,1419.8,1794.71,775.77,1722.86,1119.44,2248.1,972.85,1373.54,927.78,1012.52,786.35,1528.73,1332.44,750.69,1651.58,760.1,1132.09,414.6,1190.38,1084.67,494.34,995.67,815.91,1387.86,1028.21,2044.91,1610.36,3069.82,915.48
ACO2,180.36,228.27,238.68,105.46,88.78,279.44,214.89,157.09,70.41,711.51,154.71,240.17,200.97,492.7,107.26,552.55,427.45,130.36,515.55,182.95,109.85,244.62,418.79,595.27,592.05,497.62,336.92,225.96,257.57,226.99,49.51,41.69,308.25,241.2,389.64,263.45,353.79,333.14,133.71,244.96,193.61,316.2,422.4,209.87,211.27,281.41,229.91,266.5,127.01,312.95,393.72,262.63,293.07,431.72,164.34,311.83,81.12,237.02,285.63,438.95,185.55,366.61,525.11,151.56,411.9,592.84,195.89,245.99,386.08,289.19,405.19,324.32,230.56,234.6,855.12
ACSS2,54.78,56.46,164.69,84.96,131.14,122.29,210.05,95.59,48.58,119.46,69.07,117.11,118.1,103.12,113.56,117.08,189.23,102.13,130.67,104.21,60.24,130.18,166.63,247.12,125,158.11,110.15,44.91,112.81,287.36,50.75,91.72,176.45,167.3,149.74,109.01,133.15,180.99,150.49,101.67,199.64,241.01,204.93,84.68,105.37,128.78,158.09,136.12,69.33,156.35,210.29,288.61,269.01,147.86,209.41,420.03,116.65,181.29,110.03,146.17,123.7,166.93,297.17,110.37,389.24,189.6,105.82,169.6,161.1,272.26,265.56,281.64,126.48,204.9,701.7
ACTB,17665.54,16440.53,14362.54,15832.92,15101.5,14550.22,10339.62,14317.85,19037.56,16783.67,12494.21,16356.97,13126.17,11602.5,18131.73,13129.4,13966.87,13210.67,13581.8,11937.93,13816.69,11737.69,13850.67,9356.28,10696.83,19352.37,14720.04,14715.54,8794.34,9138.68,10115.08,19856.65,15796.65,8897.7,7266.35,16337.87,11860.93,16209.63,11719.65,9631.69,12568.77,16799.62,9882.26,11067.51,13732.44,9900.67,12946.11,9339.6,12550.04,14223.07,9272.19,7069.69,13729.27,5782.7,15290.64,9981.94,8175.46,7892.25,7905.7,7925.36,10775.51,9750.55,9501.92,14548.55,10116.41,11648.16,14809.06,9696.98,7817.26,10030,8541.1,11682.27,7926.5,15439.03,10660.87
ADPGK,59.32,213.69,248.78,304.22,367.32,243.99,525.14,38.57,123.36,127.72,133.67,610.67,260.97,94.86,193.65,114.93,205.56,199.65,136.13,389,261.34,223.28,264.34,173.86,202.46,203.53,123.88,111.84,173.3,265.82,175.98,245.21,271.54,157.02,403.68,172.38,263.24,226.18,497.75,99.16,784.14,646.21,289.8,249.47,207.61,214.64,315.95,308.44,356.97,417.18,303.39,309.72,898.64,349.8,376.81,361.92,199.91,160.94,164.8,171.83,311.25,107.31,260.81,393.33,237.42,242.81,238.67,230.95,352.1,300.48,233.46,657.51,253.55,415.69,435.56
ALDOA,13728.18,5421.04,10043.82,13636.68,28350.13,8673.07,12116.26,6076.11,16729.5,11770.03,9959.88,10484.4,9490.87,13128.16,14865.33,13442.41,11045.26,9870.28,12965.16,12327.88,14476.02,10128.11,10283.73,11711.32,11689.48,11730.86,9431.61,12890.49,10096.18,16879.74,15607.92,12769.65,13227.15,9567,9201.12,14214.72,8190.67,11396.97,8639.52,6652.91,10257.8,9431.52,8611.12,10716.18,5479.12,8787.97,7213.93,9327.34,13506.56,9704.9,9240.32,9782.37,7944.85,9444.39,15232,6934.06,10919.02,7728.76,10089.76,8709.3,10618.74,10583.15,8683.36,8203.83,9834.4,10135.81,5939.89,8357.22,4896.69,6561.77,9510.94,6061.67,11692.37,7926.79,7093.31
