"rownames(orderBenodigdeData1)","ccRCC_A_normal_tissue","ccRCC_A_Tumor1_tissue","ccRCC_A_Tumor2_tissue","ccRCC_A_Tumor3_tissue","ccRCC_B_normal_tissue","ccRCC_B_Tumor1_tissue","ccRCC_B_Tumor2_tissue","ccRCC_B_Tumor3_tissue","ccRCC_C_normal_tissue","ccRCC_C_Tumor1_tissue","ccRCC_C_Tumor2_tissue","ccRCC_C_Tumor3_tissue","ccRCC_D_normal_tissue","ccRCC_D_Tumor1_tissue","ccRCC_D_Tumor2_tissue","ccRCC_D_Tumor3_tissue","ccRCC_E_normal_tissue","ccRCC_E_Tumor1_tissue","ccRCC_E_Tumor2_tissue","ccRCC_E_Tumor3_tissue"
"ABAT",632.07,67.82,48.83,53.93,937.05,13.96,15.24,38.89,699.54,62.65,29.86,23.23,1040.89,14.92,22.55,17.72,252.56,43.29,23.15,13.29
"ACACA",185.61,72.05,40.69,44.82,82.8,64.19,73.67,61,114.92,105.02,76.75,60.24,87.25,94.39,90.57,74.53,144.52,138.4,133.75,121.42
"ACACB",520.18,176.54,105.79,178.5,234.12,88.83,128.59,171.68,186.45,95.64,87.38,196.81,227.7,72.8,105.67,54.72,202.48,86.85,101.41,48.75
"ACLY",1386.85,2733.09,2146.38,2678.85,1696.78,3112.21,1846.96,3596.73,781.23,2622.32,3970,1578.69,1056.74,1113.09,2021.46,638.17,1269.23,2131.73,1531.47,1867.86
"ACO2",619.49,538.91,313.99,657.42,926.67,185.52,194.76,291.13,1172.1,402.22,381.55,319.46,1088.75,204.14,229.52,107.1,305.5,253.37,99.94,46.09
"ACSS2",910.15,271.39,128.17,161.98,892.97,162.87,163.79,301.92,1257.44,299.93,171.55,258.84,927.43,168.3,308.27,108.4,379.91,403.35,342.82,362.05
"ACTB",5332.01,5498.23,6095.82,5425.3,6217.02,5487.76,6244.75,4957.7,5617.2,8211.49,7148.57,9964.12,5127.54,9384.45,9069.07,9010.48,9321.6,5696,5329.2,5841.23
"ADPGK",359.29,348.5,214.3,319.21,393.81,333.14,585.13,416.12,332.9,476.37,446.15,261.01,355.91,707.03,501.05,307.62,523.72,342.42,338.04,236.64
"ALDOA",6361.33,15595.16,19848.43,16158.74,6514.27,16098.02,13976.82,13795.46,7052.56,9686.35,12238.42,17886.44,6787.65,12692.11,7323.28,3842.43,4985.35,11286.14,12375.62,18424.7
"ALK",1.99,1.06,0.34,0.76,0.45,3.17,2.42,1.71,0.65,1.51,0.34,3.7,0.78,2.23,0.45,0.85,1.43,11.58,1.65,0.66
"AR",86.81,62.2,38.99,90.2,105.27,190.88,156.05,62.59,94.46,11.85,47.65,74.67,89.19,107.97,48.5,10.86,403.04,159.91,101.66,62.78
"ARHGAP26",1233.91,927.13,647.64,506.07,490.23,598.69,982.27,1093.36,539.41,1144.02,853.85,756.1,312.12,530.05,1127.95,853.15,2118.49,1864.3,1439.98,723.22
"ARV12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARV7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATG4A",188.03,116.13,59.68,75.77,114.27,61.49,59.88,87.61,170.29,168.43,102.56,88.58,123.19,88.82,156.41,120.39,170.28,66.44,115.74,38.55
"ATP5A1",6282.99,3197.48,2844.89,3250.24,6506.13,2332.46,2298.9,3509.12,6417.91,2519.57,1555.72,1788.13,8284.72,1171.41,1428.21,1281.03,4831.53,1458.74,2181.47,1349.82
"ATP5C1",3018.01,2527.28,2258.28,2385.08,3810.92,2473.62,1155.5,2933.38,3505.89,2822.68,3877.57,1779.97,4017.76,1239.31,2055.47,1025.79,3087.23,2322.79,2886.21,2498.46
"AXL",211.87,277.15,193.95,305.35,133.58,100.09,327.46,221.74,92.18,898.5,301.34,621.95,111.34,801.98,1138.22,535.82,545.9,665.13,478.4,312.2
"BCAT1",139.04,273.74,107.15,214.01,78.9,98.33,276.66,145.19,87.95,405.55,110.48,163.88,42.68,294.52,476.68,1634.38,254.71,179.21,263.82,60.27
"BCAT2",189.8,193.47,97.66,127.8,205.33,267.66,273.39,335.14,185.8,161.62,144.05,111.93,129.62,133.79,142.22,99.28,22.89,11.86,20.94,9.75
"BRAF",323.32,196.76,103.76,203.95,218.28,362.01,305.33,539.09,256.54,215.64,95.81,164.01,227.54,208.15,251.71,158.3,447.88,435.61,335.47,174.16
"C12orf5 (TIGAR)",73.38,59.65,40.69,56.26,46.87,27.58,43.55,38.33,39.74,145.27,43.22,61.42,25.5,97.4,173.23,109.77,105.53,68.24,66.14,48.75
"CA12",7942.4,1782.68,642.22,1262.23,7413.27,7020.14,5850.09,6224.88,7609.68,3431.16,3868.12,3772.44,7418.18,2558.99,3283.26,498.37,7304.88,7463.53,3621.82,4341.95
"CA9",18.98,2118.25,926.37,1957.25,0.67,1600.93,2682.98,976.58,0.52,571.41,175.59,1451.95,1.88,498,824.77,185.8,3.58,1354.8,428.43,705.93
"CAT",2205.85,1643.87,608.31,1261.47,2219.37,529.58,743.24,1086.84,3341.59,1824.68,1431.57,1000.51,2906.73,428.76,556.88,534.33,1382.28,809.19,860.17,529.56
"CBR1",324.97,156.91,133.09,158.09,325.85,121.01,116.89,163.99,366.28,180.83,183.44,140.24,137.31,53.98,101.39,103.09,23.25,20.68,73.49,35.45
"CBS",38.62,15.99,14.92,21.46,12.05,37.32,37.02,71.58,31.79,12.71,15.52,16.08,13.81,4.01,6.55,8.34,5.72,3.31,2.2,0.89
"CD274 (PDL1)",30.01,26.56,52.9,29.24,22.99,39.43,39.68,41.45,31.53,77.02,23.28,31.4,22.91,26.27,68.38,124.04,55.81,43.84,68.34,19.06
"CHKA",160.23,78.87,46.11,63.61,102.11,65.95,88.31,97.33,68.92,50.09,27.49,28.72,50.06,53.21,96.21,91.46,118.05,46.59,75.32,29.69
"CKB",3734.39,1296.08,878.9,1163.3,786.96,824.35,809.17,640.69,367.16,111.07,94.63,62.03,1036.49,558.55,1264.71,201.17,186.02,3.86,10.29,3.55
"CPT1A",1053.6,1000,617.13,867.44,919.75,123.33,225.12,393.8,1107.48,720.46,534.88,439.69,605.42,256.46,544.88,402.99,845.68,572.63,537.93,397.95
"CS",728.02,375.68,180.77,327.27,667.54,299.27,445.89,451.18,623.32,513.94,460.28,484.05,499.37,373.23,497.35,386.31,878.9,615.59,549.78,362.41
"CTLA4",52.42,27.33,51.71,23.74,18.41,3.52,8.77,0.8,17.1,292.63,40.9,55.2,4.32,199.52,168.23,258.3,76.91,95.12,209.9,81.98
"CYCS",1050.79,321.32,253.46,289.83,932.36,566.63,497.03,416.53,980.28,855.18,557.27,414.17,471.76,478.63,487.18,391.04,562.53,150.6,386.73,132.39
"D2HGDH",853.59,325.1,161.83,284.58,291.61,177.51,227.2,180.16,241.1,201.47,113.09,120.15,483.04,90.97,122.26,124.43,74.47,32.58,23.88,12.09
"EGFR",103.04,121.32,55.1,16.85,31.04,170.41,309.34,240.81,31.92,96.09,85.13,97.36,21.58,191.03,204.89,57.86,91.67,551.75,189.92,28.53
"EGFR delta 14-15",1.1,0,0,0,0,0.59,0,0,0,0,0.42,0,0,1.11,0.91,0,0,2.76,1.84,0
"EGFR delta 25-27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EGFR delta 2-7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.58,5.51,12.86,2.22
"EGLN1",344.73,338.74,167.51,266.23,244.17,257.34,327.46,340.38,216.28,439.45,294.17,157.12,224.09,251.34,224.24,231.92,281.89,475.03,387.28,320.84
"ENO1",7765.4,21761.39,30927.56,23601.11,11998.88,28470.71,21504.51,19771.2,8836.25,9423.95,10131.64,20765.71,7682.44,14033.82,13155.24,4722.81,8323.7,13342.87,12573.67,18380.83
"EPAS1",2132.14,3943.48,2528.19,3771.7,1541.22,747.48,982.03,1963.1,1681.41,1058.37,576.2,1144.74,1928.93,1100.18,4577.25,1889.62,3561.58,2226.84,2307.87,1200.04
"ERBB2",1341.39,338.74,223.12,306.49,830.03,503.53,508.56,539.2,537.06,135.29,102.05,224.51,575.76,89.05,85.48,68.53,663.23,114.14,84.14,56.72
"ERBB3",833.02,818.53,564.57,929.54,747.4,98.39,346.94,1062.11,617.91,931.41,1114.29,1036.25,716.44,146.37,12.73,3.65,1127.21,1298,639.34,489.9
"ERBB4",430.69,8.46,2.71,0.19,177.66,1.06,1.21,1.39,159.93,1.66,0.67,0.51,151.43,3.12,0.73,1.69,344.14,0.28,28.48,3.1
"FASN",93.98,36.93,20.34,21.36,41.48,54.47,67.94,34.19,45.71,50.06,74.5,38.4,50.61,60.11,43.04,62,36.97,17,20.82,4.43
"FBP1",2019.15,423.96,507.94,1066.83,3087.35,81.67,257.54,523.49,3174.03,297.35,125.83,214.42,5610.87,166.96,85.48,97.46,850.69,120.21,333.63,222.46
"FGFR1",374.08,125.88,94.94,101.4,204.89,498.24,449.64,476.27,169.25,61.29,127.35,147.54,172.15,214.6,208.6,183.19,666.1,196.02,234.79,106.36
"FGFR2",139.7,78.51,23.06,26.21,163.48,33.33,98.11,116.02,89.12,85.8,60.22,65.22,168.22,45.86,31.65,3.65,342.71,325.33,235.53,136.05
"FH",454.34,218.62,109.86,211.23,533.16,150.36,123.79,224.43,489.11,351.13,324.76,185.92,489.5,128.67,146.46,123.95,199.38,146.03,206.87,83.02
"G6PC",5286.77,221.79,288.22,735.46,3264.22,4.11,31.81,65.7,6171.65,32.38,12.31,250.42,6068.46,9.35,1.45,3.91,238.96,0.83,3.67,1.77
"G6PD",239.68,159.62,136.99,147.17,254.66,138.47,193.55,185.57,208.08,434,374.63,348.05,211.69,299.42,302.08,225.01,377.76,361.45,410.06,284.5
"GAD1",80.33,3.06,0,1.14,71.53,11.73,15.48,1.28,22.15,43.88,40.15,5.87,37.98,48.53,116.58,28.66,38.64,98.7,43.36,36.34
"GAPDH",13890.37,24201.34,40944.68,22617.27,15560.72,26229.9,25021.34,22256.52,16461.44,22810.66,29102.33,28914.03,19079.46,20158.26,21938.91,11814.45,13236.79,32433.86,31920.66,38486.83
"GCLC",431.02,290.79,176.32,354.15,392.7,166.63,173.11,276.06,435.96,551.28,402.13,360.69,293.14,162.07,353.55,234.66,289.05,277.08,457.83,309.32
"GCLM",145.88,285.14,149.2,243.07,201.09,196.08,132.82,246.9,166.9,167.67,217.76,152.65,158.49,152.72,161.5,78.31,93.01,286.73,263.82,221.57
"GFPT1",990.7,1096.86,870.76,1122.47,838.85,1123.93,1319.9,1504.35,989.17,1433.81,1615.26,652.59,889.14,855.07,710.19,568.2,1645.57,665.27,1022.58,831.34
"GLDC",982.1,199.7,127.49,301.17,775.13,211.92,204.44,197.75,2146.16,117.88,50.94,39.57,1699.97,142.92,58.56,4.95,589.54,189.13,169.02,84.2
"GLS",6960.08,3439.72,3312.82,3380.89,5795.39,5223,4072.32,4344.36,5916.8,3644.07,3553.71,1988.39,6696.32,3476.62,3449.13,2340.69,5072.64,1690.05,2312.64,1071.53
"GLUD1",2245.58,1737.78,1531.97,2456.29,2172.84,950.14,951.06,1549.65,3754.35,1234.21,1182.09,1474.41,2682.33,1035.84,1152.13,444.29,1264.94,1235.42,997.22,546.4
"GLUD2",355.32,104.02,55.61,60.77,234.12,87.66,142.5,158.86,330.94,112.43,70.17,73.13,150.18,62.33,98.75,99.02,120.91,137.85,142.57,32.79
"GLUL",426.16,903.98,427.92,446.63,387.68,370.1,501.42,344.87,265.79,1591.34,844.74,1487.94,243.23,1047.19,1476.95,892.63,953,1363.07,1487.38,907.12
"GOT1",397.69,183.36,82.06,146.22,257.45,61.37,77.54,119.66,247.03,164.94,226.37,204.72,351.04,47.64,66.75,31.53,221.79,44.66,70.92,39
"GPI_1",1588.79,1880.36,975.87,1192.92,956.8,2145.64,1553.49,1707.45,1183.83,1441.83,1551.67,2225.53,844.73,1071.01,1289.63,564.68,1175.51,1532.63,1056.01,443.59
"GPI_2",2826.01,2771.33,1206,1358.07,1292.44,3448.76,2565.16,2855.54,2104.86,2491.83,2109.04,2119.98,1133.79,1913.77,2331.55,1257.31,1399.92,1059.61,1003.1,173.57
"GPT",439.85,67.11,21.7,61.91,81.35,17.6,22.98,56.84,96.94,12.71,8.1,33.7,100.43,3.56,0.73,0.26,0,0.15,1.84,0.49
"GSS",804.88,311.36,109.86,218.38,800.8,291.84,349.96,522.43,807.94,373.77,308.17,304.66,873.45,307.66,363.74,223.84,675.4,606.27,643.01,624.39
"HIF1A",966.21,490.13,206.84,321.11,996.75,364.94,459.81,370.4,1083.77,741.19,450.88,821.7,740.53,1473.73,1621.9,1530.28,2785.3,1152.71,1038.38,841.98
"HK1",910.59,712.27,509.3,575.38,595.35,1218.39,1030.3,813.02,428.27,1358.6,659.87,967.84,457.28,1208.15,1703.01,1391.51,1402.31,1320.06,960.48,715.24
"HK2",6.18,245.3,54.25,245.91,1.56,66.65,45.97,12.18,2.08,8.17,40.15,26.55,1.88,33.84,15.64,15.77,57.24,530.45,163.14,76.66
"HK3",2.21,4.11,6.78,2.66,2.12,1.17,11.61,1.07,3.52,21.03,9.11,16.21,1.57,15.14,18.73,27.88,7.15,8,13.23,6.2
"IDH1",1201.77,465.78,219.43,437.37,1379.85,386.73,659.37,442.22,2292.76,1334.48,662.54,614.6,1995.03,831.95,1032.62,843.31,521.01,447.92,590,280.61
"IDH2",1698.05,684.81,386.24,591.61,1598.27,1474.54,865.48,1269.55,1293.62,534.87,435.11,449.67,1483.02,500.79,608.68,390.76,612.7,422.95,664.73,548.49
"IDH3A",275.67,118.34,70.28,86.23,216.59,107.8,136.09,204.98,214.86,156.07,149.28,109.36,175.19,122.95,165,127.75,236.1,108.28,135.12,94.07
"IDH3B",825.29,529.86,240.07,486.51,798.95,402.61,563.6,1024.29,730.35,536.75,402.63,410.72,792.47,465.83,584.43,367.29,500.47,236,316.91,208.5
"IDH3G",485.35,472.5,328.34,464.06,621.11,366.99,293.4,289.12,569.1,351.96,343.96,472.93,587.1,235.97,359.19,247.39,265.62,334.06,308.65,327.19
